,HCG,Name,RA,Dec,Vsys,M_type,T_type,sep_kpc,sep_norm,e_sepnorm,D25_am,D25_kpc,flux,logMHIobs,e_logMHIobs,logMHIexp,e_logMHIexp,defHI,e_defHI,OPT_HI,zflag,HIflag,MHIlim_flag,gmag,e_gmag,rmag,e_rmag,Btot,logLB,logMs,e_logMs
0,31,WISEA J045913.48-033631.4,74.806574,-3.608575,3630.0,Sm,9,824.586,7.995,2.2256201447842594,0.923,14.236,0.677,8.652,0.061,9.266,0.221,0.614,0.22937574836985772,2,1,1,0,15.938,0.002,15.608,0.002,15.593,9.163,9.153,0.010
1,31,WISEA J050042.68-035434.1,75.177824,-3.909525,4033.0,E,-5,392.498,3.805,1.0593810625367728,0.203,3.136,0.551,8.562,0.061,9.295,0.221,0.733,0.22937574836985772,1,0,1,0,18.842,0.003,17.864,0.002,18.749,7.901,9.147,0.011
2,31,WISEA J050300.01-042846.1,75.749994,-4.478925,4002.0,Sm,9,369.134,3.579,0.9963196627770488,1.012,15.596,3.299,9.340,0.061,8.995,0.285,-0.345,0.2915428509503059,1,0,1,0,16.742,0.003,16.452,0.004,16.381,8.848,8.696,0.011
3,31,WISEA J050112.74-040732.1,75.302714,-4.125585,4333.0,Sc,5,162.950,1.580,0.43981472771708485,0.766,11.802,0.812,8.731,0.061,9.218,0.221,0.487,0.22937574836985772,1,0,1,0,16.972,0.003,16.478,0.003,16.690,8.725,9.012,0.011
4,31,WISEA J045925.54-035506.3,74.856344,-3.918805,4070.0,Sd,7,604.629,5.862,1.6319404355761125,0.618,9.533,1.291,8.932,0.061,8.971,0.285,0.039,0.2915428509503059,1,0,1,0,17.067,0.002,16.720,0.002,16.729,8.709,8.705,0.011
5,31,WISEA J050152.03-035116.1,75.466794,-3.854365,4006.0,S0,-2,380.867,3.693,1.027989249039243,0.244,3.755,0.086,7.756,0.061,8.711,0.285,0.955,0.2915428509503059,1,0,1,0,17.881,0.002,17.493,0.002,17.559,8.377,8.434,0.011
6,31,GALEXASC J050203.46-040132.9,75.514444,-4.025805,4091.0,Im,10,238.031,2.308,0.6424645157913434,0.271,4.176,0.077,7.707,0.061,7.997,0.285,0.290,0.2915428509503059,1,0,1,0,19.303,0.012,18.972,0.014,18.957,7.818,7.781,0.025
7,31,core: HCG 31A,75.411448,-4.259366,4074.0,Sdm,8,3.666,0.036,0.009894599159564012,0.977,15.058,0.521,8.539,0.061,9.121,0.3,0.583,0.3062225235678007,2,1,1,0,14.934,0.001,14.595,0.000,14.592,9.564,9.529,0.010
8,31,core: HCG 31B,75.399423,-4.261339,4136.0,Sm,9,13.170,0.128,0.03554754143556168,1.121,17.285,1.330,8.945,0.061,9.290,0.221,0.345,0.22937574836985772,2,1,1,0,15.419,0.001,15.171,0.001,15.042,9.384,9.112,0.010
9,31,core: HCG 31C,75.407658,-4.257926,4037.5,Im,10,7.050,0.068,0.01902909006827363,0.906,13.966,0.971,8.809,0.061,9.144,0.3,0.335,0.3062225235678007,2,1,1,0,14.747,0.000,14.525,0.000,14.359,9.657,9.372,0.010
10,31,core: HCG 31G,75.433364,-4.288745,3990.5,cI,NaN,30.211,0.293,0.08154290442053819,0.587,9.048,0.611,8.608,0.061,9.066,0.3,0.458,0.3062225235678007,2,1,1,0,15.034,0.000,14.765,0.000,14.665,9.535,9.339,0.010
11,31,core: HCG 31Q,75.409734,-4.222445,4037.0,Im,10,37.387,0.362,0.10090909538618993,0.493,7.598,0.444,8.468,0.061,9.128,0.285,0.660,0.2915428509503059,2,1,1,0,16.890,0.001,16.501,0.001,16.568,8.774,8.912,0.010
12,31,core: total,75.413637,-4.262674,4068.0,NaN,NaN,0.000,0.000,0.0,nan,nan,25.439,10.227,0.061,9.856,0.632507707462921,-0.371,0.6354826779230354,2,1,1,0,nan,nan,nan,nan,nan,nan,10.002,nan
