,HCG,Name,RA,Dec,Vsys,M_type,T_type,sep_kpc,sep_norm,e_sepnorm,D25_am,D25_kpc,flux,logMHIobs,e_logMHIobs,logMHIexp,e_logMHIexp,defHI,e_defHI,OPT_HI,zflag,HIflag,MHIlim_flag,gmag,e_gmag,rmag,e_rmag,Btot,logLB,logMs,e_logMs
0,90,2MASS J22012971-3157464,330.374136,-31.963035,2785.0,S0,-2,72.025,0.303,0.03771626630095118,0.723,6.936,0.146,7.574,0.061,9.124,0.285,1.551,0.2915428509503059,2,1,1,0,16.714,0.001,16.147,0.001,16.461,8.405,8.751,0.010
1,90,ESO 466- G 036,330.335246,-31.529695,2379.0,Sa,1,251.898,1.059,0.13190699392139527,2.116,20.313,10.383,9.426,0.061,8.584,0.57,-0.842,0.573299427821302,2,1,1,0,14.401,0.000,13.782,0.000,14.168,9.322,9.743,0.010
2,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
3,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
4,90,WISEA J220250.16-323436.9,330.709036,-32.576895,2200.0,S0,-2,379.318,1.594,0.19863102955379744,0.549,5.274,0.451,8.064,0.061,9.159,0.221,1.095,0.22937574836985772,2,1,1,0,16.285,0.000,15.786,0.000,16.005,8.587,8.855,0.010
5,90,WISEA J220521.01-320000.2,331.337826,-31.999935,2256.0,Sb,3,401.846,1.689,0.2104276516033029,0.911,8.748,0.445,8.058,0.061,8.528,0.38,0.470,0.3849314665498682,2,1,1,0,15.364,0.000,14.869,0.000,15.083,8.956,9.254,0.010
6,90,NGC 7163,329.835166,-31.883175,2754.0,SBab,2,335.648,1.411,0.17576334260881482,2.369,22.742,1.055,8.433,0.061,8.941,0.57,0.508,0.573299427821302,2,1,1,0,13.591,0.000,12.890,0.000,13.390,9.633,10.275,0.010
7,90,APMUKS(BJ) B215808.24-321139.7,330.262566,-31.953455,2642.0,S0,-2,125.438,0.527,0.06568577964043881,0.426,4.087,0.227,7.766,0.061,8.180,0.285,0.414,0.2915428509503059,1,0,1,0,17.934,0.002,17.583,0.002,17.596,7.951,7.869,0.010
8,NaN,NaN,nan,nan,NaN,NaN,NaN,nan,nan,NaN,nan,nan,nan,nan,nan,nan,NaN,nan,NaN,NaN,NaN,NaN,NaN,nan,nan,nan,nan,nan,nan,nan,nan
9,90,core: HCG 90A,330.507876,-31.869675,2603.0,Sa,1,39.873,0.168,0.02087939608061366,2.707,25.988,1.621,8.620,0.061,9.336,0.57,0.716,0.573299427821302,2,1,1,0,12.719,0.000,11.904,0.000,12.563,9.964,10.848,0.010
10,90,core: HCG 90B,330.535137,-31.989869,2523.0,E0,-5,30.780,0.129,0.016117995175600763,2.096,20.124,0.034,6.941,0.061,9.057,0.57,2.116,0.573299427821302,0,1,0,1,13.382,0.000,12.600,0.000,13.213,9.704,10.534,0.010
11,90,core: HCG 90C,330.513161,-31.973654,2512.0,E0,-5,20.534,0.086,0.01075294696379976,1.457,13.990,0.034,6.941,0.061,8.933,0.57,1.992,0.573299427821302,0,1,0,1,13.696,0.000,12.910,0.000,13.528,9.578,10.415,0.010
12,90,core: HCG 90D,330.527009,-31.992715,2775.0,Im,10,31.608,0.133,0.01655165532897321,2.209,21.202,0.034,6.941,0.061,9.442,0.3,2.500,0.3062225235678007,0,1,0,1,13.361,0.000,12.577,0.000,13.192,9.712,10.598,0.010
13,90,core: total,330.518605,-31.938301,2635.0,NaN,NaN,0.000,0.000,0.0,nan,nan,1.723,8.646,0.123,9.841,1.0318430113151904,1.194,1.039128931250078,2,1,1,0,nan,nan,nan,nan,nan,nan,11.231,nan
